Bandit,Reward,Algorithm
Bandit,0.5763301936659286,Epsilon Greedy
Bandit,2.151969233457463,Epsilon Greedy
Bandit,0.4602248502972217,Epsilon Greedy
Bandit,2.959061812776277,Epsilon Greedy
Bandit,0.6360893332907427,Epsilon Greedy
Bandit,1.0404385369514413,Epsilon Greedy
Bandit,2.0488369195655993,Epsilon Greedy
Bandit,2.273762174384479,Epsilon Greedy
Bandit,1.4543918255887638,Epsilon Greedy
Bandit,0.7535571075640533,Epsilon Greedy
Bandit,1.4908103999398112,Epsilon Greedy
Bandit,4.427676869884268,Epsilon Greedy
Bandit,3.383993299936681,Epsilon Greedy
Bandit,0.7482232121001446,Epsilon Greedy
Bandit,1.051636756461929,Epsilon Greedy
Bandit,3.5212467700042143,Epsilon Greedy
Bandit,2.3753824326483635,Epsilon Greedy
Bandit,1.9038060785711033,Epsilon Greedy
Bandit,3.2775222617183966,Epsilon Greedy
Bandit,3.064563478109081,Epsilon Greedy
Bandit,0.9900511841185129,Epsilon Greedy
Bandit,1.861683674629049,Epsilon Greedy
Bandit,2.734439189175886,Epsilon Greedy
Bandit,3.997953115188543,Epsilon Greedy
Bandit,5.573970605907381,Epsilon Greedy
Bandit,3.6429297629685613,Epsilon Greedy
Bandit,3.430190646381078,Epsilon Greedy
Bandit,4.045613370429971,Epsilon Greedy
Bandit,3.0893296681089817,Epsilon Greedy
Bandit,2.4968175376160735,Epsilon Greedy
Bandit,3.7244869244894288,Epsilon Greedy
Bandit,3.7179352882801235,Epsilon Greedy
Bandit,3.756891623001159,Epsilon Greedy
Bandit,4.850373362239528,Epsilon Greedy
Bandit,2.8052263332494114,Epsilon Greedy
Bandit,4.558733718355495,Epsilon Greedy
Bandit,3.25873624012114,Epsilon Greedy
Bandit,3.712523486688222,Epsilon Greedy
Bandit,3.9044257208468514,Epsilon Greedy
Bandit,2.289768152441231,Epsilon Greedy
Bandit,6.206223365642487,Epsilon Greedy
Bandit,5.2376021634521726,Epsilon Greedy
Bandit,2.2874461632992227,Epsilon Greedy
Bandit,3.353852582819351,Epsilon Greedy
Bandit,3.6477328951429833,Epsilon Greedy
Bandit,4.164969119444397,Epsilon Greedy
Bandit,3.6572990878393705,Epsilon Greedy
Bandit,3.2432529954987412,Epsilon Greedy
Bandit,2.684825056667216,Epsilon Greedy
Bandit,3.9459225147228674,Epsilon Greedy
Bandit,5.003169040685431,Epsilon Greedy
Bandit,3.9672023435952393,Epsilon Greedy
Bandit,2.938709181440117,Epsilon Greedy
